movie_id,movie_title,rating
1,Avatar ,7.9
2,Pirates of the Caribbean: At World's End ,7.1
3,Spectre ,6.8
4,The Dark Knight Rises ,8.5
5,Star Wars: Episode VII - The Force Awakens             ,7.1
6,John Carter ,6.6
7,Spider-Man 3 ,6.2
8,Tangled ,7.8
9,Avengers: Age of Ultron ,7.5
10,Harry Potter and the Half-Blood Prince ,7.5
11,Batman v Superman: Dawn of Justice ,6.9
12,Superman Returns ,6.1
13,Quantum of Solace ,6.7
14,Pirates of the Caribbean: Dead Man's Chest ,7.3
15,The Lone Ranger ,6.5
16,Man of Steel ,7.2
17,The Chronicles of Narnia: Prince Caspian ,6.6
18,The Avengers ,8.1
19,Pirates of the Caribbean: On Stranger Tides ,6.7
20,Men in Black 3 ,6.8
21,The Hobbit: The Battle of the Five Armies ,7.5
22,The Amazing Spider-Man ,7.0
23,Robin Hood ,6.7
24,The Hobbit: The Desolation of Smaug ,7.9
25,The Golden Compass ,6.1
26,King Kong ,7.2
27,Titanic ,7.7
28,Captain America: Civil War ,8.2
29,Battleship ,5.9
30,Jurassic World ,7.0
31,Skyfall ,7.8
32,Spider-Man 2 ,7.3
33,Iron Man 3 ,7.2
34,Alice in Wonderland ,6.5
35,X-Men: The Last Stand ,6.8
36,Monsters University ,7.3
37,Transformers: Revenge of the Fallen ,6.0
38,Transformers: Age of Extinction ,5.7
39,Oz the Great and Powerful ,6.4
40,The Amazing Spider-Man 2 ,6.7
41,TRON: Legacy ,6.8
42,Cars 2 ,6.3
43,Green Lantern ,5.6
44,Toy Story 3 ,8.3
45,Terminator Salvation ,6.6
46,Furious 7 ,7.2
47,World War Z ,7.0
48,X-Men: Days of Future Past ,8.0
49,Star Trek Into Darkness ,7.8
50,Jack the Giant Slayer ,6.3
51,The Great Gatsby ,7.3
52,Prince of Persia: The Sands of Time ,6.6
53,Pacific Rim ,7.0
54,Transformers: Dark of the Moon ,6.3
55,Indiana Jones and the Kingdom of the Crystal Skull ,6.2
56,The Good Dinosaur ,6.8
57,Brave ,7.2
58,Star Trek Beyond ,7.5
59,WALL·E ,8.4
60,Rush Hour 3 ,6.2
61,2012 ,5.8
62,A Christmas Carol ,6.8
63,Jupiter Ascending ,5.4
64,The Legend of Tarzan ,6.6
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9
66,X-Men: Apocalypse ,7.3
67,The Dark Knight ,9.0
68,Up ,8.3
69,Monsters vs. Aliens ,6.5
70,Iron Man ,7.9
71,Hugo ,7.5
72,Wild Wild West ,4.8
73,The Mummy: Tomb of the Dragon Emperor ,5.2
74,Suicide Squad ,6.9
75,Evan Almighty ,5.4
76,Edge of Tomorrow ,7.9
77,Waterworld ,6.1
78,G.I. Joe: The Rise of Cobra ,5.8
79,Inside Out ,8.3
80,The Jungle Book ,7.8
81,Iron Man 2 ,7.0
82,Snow White and the Huntsman ,6.1
83,Maleficent ,7.0
84,Dawn of the Planet of the Apes ,7.6
85,The Lovers ,4.5
86,47 Ronin ,6.3
87,Captain America: The Winter Soldier ,7.8
88,Shrek Forever After ,6.4
89,Tomorrowland ,6.5
90,Big Hero 6 ,7.9
91,Wreck-It Ralph ,7.8
92,The Polar Express ,6.6
93,Independence Day: Resurgence ,5.5
94,How to Train Your Dragon ,8.2
95,Terminator 3: Rise of the Machines ,6.4
96,Guardians of the Galaxy ,8.1
97,Interstellar ,8.6
98,Inception ,8.8
99,Godzilla Resurgence ,8.2
100,The Hobbit: An Unexpected Journey ,7.9
101,The Fast and the Furious ,6.7
102,The Curious Case of Benjamin Button ,7.8
103,X-Men: First Class ,7.8
104,The Hunger Games: Mockingjay - Part 2 ,6.6
105,The Sorcerer's Apprentice ,6.1
106,Poseidon ,5.6
107,Alice Through the Looking Glass ,6.4
108,Shrek the Third ,6.1
109,Warcraft ,7.3
110,Terminator Genisys ,6.6
111,The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3
112,Pearl Harbor ,6.1
113,Transformers ,7.1
114,Alexander ,5.5
115,Harry Potter and the Order of the Phoenix ,7.5
116,Harry Potter and the Goblet of Fire ,7.6
117,Hancock ,6.4
118,I Am Legend ,7.2
119,Charlie and the Chocolate Factory ,6.7
120,Ratatouille ,8.0
121,Batman Begins ,8.3
122,Madagascar: Escape 2 Africa ,6.7
123,Night at the Museum: Battle of the Smithsonian ,5.9
124,X-Men Origins: Wolverine ,6.7
125,The Matrix Revolutions ,6.7
126,Frozen ,7.6
127,The Matrix Reloaded ,7.2
128,Thor: The Dark World ,7.1
129,Mad Max: Fury Road ,8.1
130,Angels & Demons ,6.7
131,Thor ,7.0
132,Bolt ,6.9
133,G-Force ,5.1
134,Wrath of the Titans ,5.8
135,Dark Shadows ,6.2
136,Mission: Impossible - Rogue Nation ,7.4
137,The Wolfman ,5.8
138,The Legend of Tarzan ,6.6
139,Bee Movie ,6.2
140,Kung Fu Panda 2 ,7.3
141,The Last Airbender ,4.2
142,Mission: Impossible III ,6.9
143,White House Down ,6.4
144,Mars Needs Moms ,5.4
145,Flushed Away ,6.7
146,Pan ,5.8
147,Mr. Peabody & Sherman ,6.9
148,Troy ,7.2
149,Madagascar 3: Europe's Most Wanted ,6.9
150,Die Another Day ,6.1
151,Ghostbusters ,5.5
152,Armageddon ,6.6
153,Men in Black II ,6.1
154,Beowulf ,6.3
155,Kung Fu Panda 3 ,7.2
156,Mission: Impossible - Ghost Protocol ,7.4
157,Rise of the Guardians ,7.3
158,Fun with Dick and Jane ,6.1
159,The Last Samurai ,7.7
160,Exodus: Gods and Kings ,6.1
161,Star Trek ,8.0
162,Spider-Man ,7.3
163,How to Train Your Dragon 2 ,7.9
164,Gods of Egypt ,5.5
165,Stealth ,5.0
166,Watchmen ,7.7
167,Lethal Weapon 4 ,6.6
168,Hulk ,5.7
169,G.I. Joe: Retaliation ,5.8
170,Sahara ,6.0
171,Final Fantasy: The Spirits Within ,6.4
172,Captain America: The First Avenger ,6.9
173,The World Is Not Enough ,6.4
174,Master and Commander: The Far Side of the World ,7.4
175,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
176,Happy Feet 2 ,5.9
177,The Incredible Hulk ,6.8
178,Miami Vice             ,7.5
179,The BFG ,6.8
180,The Revenant ,8.1
181,Turbo ,6.5
182,Rango ,7.2
183,Penguins of Madagascar ,6.7
184,The Bourne Ultimatum ,8.1
185,Kung Fu Panda ,7.6
186,Ant-Man ,7.4
187,The Hunger Games: Catching Fire ,7.6
188,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
189,Home ,6.7
190,War of the Worlds ,6.5
191,Bad Boys II ,6.6
192,Puss in Boots ,6.7
193,Salt ,6.4
194,Noah ,5.8
195,The Adventures of Tintin ,7.4
196,Harry Potter and the Prisoner of Azkaban ,7.8
197,Australia ,6.6
198,After Earth ,4.9
199,Dinosaur ,6.5
200,Harry Potter and the Deathly Hallows: Part II ,7.5
201,Night at the Museum: Secret of the Tomb ,6.2
202,Megamind ,7.3
203,Harry Potter and the Sorcerer's Stone ,7.5
204,R.I.P.D. ,5.6
205,Godzilla Resurgence ,8.2
206,Pirates of the Caribbean: The Curse of the Black Pearl ,8.1
207,Harry Potter and the Deathly Hallows: Part I ,6.4
208,The Hunger Games: Mockingjay - Part 1 ,6.7
209,The Da Vinci Code ,6.6
210,Rio 2 ,6.4
211,X-Men 2 ,7.5
212,Fast Five ,7.3
213,Sherlock Holmes: A Game of Shadows ,7.5
214,Clash of the Titans ,5.8
215,Total Recall ,7.5
216,The 13th Warrior ,6.6
217,The Bourne Legacy ,6.7
218,Batman & Robin ,3.7
219,How the Grinch Stole Christmas ,6.0
220,The Day After Tomorrow ,6.4
221,Mission: Impossible II ,6.1
222,The Perfect Storm ,6.4
223,Fantastic 4: Rise of the Silver Surfer ,5.6
224,Life of Pi ,8.0
225,Ghost Rider ,5.2
226,Jason Bourne ,7.1
227,Charlie's Angels: Full Throttle ,4.8
228,Prometheus ,7.0
229,Stuart Little 2 ,5.4
230,Elysium ,6.6
231,The Chronicles of Riddick ,6.7
232,RoboCop ,6.2
233,Speed Racer ,6.1
234,How Do You Know ,5.3
235,Knight and Day ,6.3
236,Oblivion ,7.0
237,Star Wars: Episode III - Revenge of the Sith ,7.6
238,Star Wars: Episode II - Attack of the Clones ,6.7
239,"Monsters, Inc. ",8.1
240,The Wolverine ,6.7
241,Star Wars: Episode I - The Phantom Menace ,6.5
242,The Croods ,7.3
243,Asterix at the Olympic Games ,5.1
244,Windtalkers ,6.0
245,The Huntsman: Winter's War ,6.1
246,Teenage Mutant Ninja Turtles ,5.9
247,Gravity ,7.8
248,Dante's Peak ,5.8
249,Teenage Mutant Ninja Turtles: Out of the Shadows ,6.3
250,Fantastic Four ,4.3
251,Night at the Museum ,6.4
252,San Andreas ,6.1
253,Tomorrow Never Dies ,6.5
254,The Patriot ,7.1
255,Ocean's Twelve ,6.4
256,Mr. & Mrs. Smith ,6.5
257,Insurgent ,6.3
258,The Aviator ,7.5
259,Gulliver's Travels ,4.9
260,The Green Hornet ,5.8
261,The A-Team             ,7.6
262,300: Rise of an Empire ,6.2
263,The Smurfs ,5.5
264,Home on the Range ,5.4
265,Allegiant ,5.8
266,Real Steel ,7.1
267,The Smurfs 2 ,5.4
268,Speed 2: Cruise Control ,3.7
269,Ender's Game ,6.7
270,Live Free or Die Hard ,7.2
271,The Lord of the Rings: The Fellowship of the Ring ,8.8
272,Around the World in 80 Days ,5.8
273,Ali ,6.8
274,The Cat in the Hat ,3.8
275,"I, Robot ",7.1
276,Kingdom of Heaven ,7.2
277,Stuart Little ,5.9
278,The Princess and the Frog ,7.1
279,The Martian ,8.1
280,"10,000 B.C.             ",7.2
281,The Island ,6.9
282,Town & Country ,4.4
283,Gone in Sixty Seconds ,6.5
284,Gladiator ,8.5
285,Minority Report ,7.7
286,Harry Potter and the Chamber of Secrets ,7.4
287,Casino Royale ,8.0
288,Planet of the Apes ,5.7
289,Terminator 2: Judgment Day ,8.5
290,Public Enemies ,7.0
291,American Gangster ,7.8
292,True Lies ,7.2
293,The Taking of Pelham 1 2 3 ,6.4
294,Little Fockers ,5.5
295,The Other Guys ,6.7
296,Eraser ,6.1
297,Django Unchained ,8.5
298,The Hunchback of Notre Dame ,6.9
299,The Emperor's New Groove ,7.3
300,The Expendables 2 ,6.7
301,National Treasure ,6.9
302,Eragon ,5.1
303,Where the Wild Things Are ,6.8
304,Pan ,5.8
305,Epic ,6.7
306,The Tourist ,6.0
307,End of Days ,5.7
308,Blood Diamond ,8.0
309,The Wolf of Wall Street ,8.2
310,Batman Forever ,5.4
311,Starship Troopers ,7.2
312,Cloud Atlas ,7.5
313,Legend of the Guardians: The Owls of Ga'Hoole ,7.0
314,Catwoman ,3.3
315,Hercules ,6.0
316,Treasure Planet ,7.1
317,Land of the Lost ,5.4
318,The Expendables 3 ,6.1
319,Point Break ,5.3
320,Son of the Mask ,2.2
321,In the Heart of the Sea ,7.0
322,The Adventures of Pluto Nash ,3.8
323,Green Zone ,6.9
324,The Peanuts Movie ,7.2
325,The Spanish Prisoner ,7.3
326,The Mummy Returns ,6.3
327,Gangs of New York ,7.5
328,The Flowers of War ,7.6
329,Surf's Up ,6.8
330,The Stepford Wives ,5.2
331,Black Hawk Down ,7.7
332,The Campaign ,6.2
333,The Fifth Element ,7.7
334,Sex and the City 2 ,4.3
335,The Road to El Dorado ,6.9
336,Ice Age: Continental Drift ,6.6
337,Cinderella ,7.0
338,The Lovely Bones ,6.7
339,Finding Nemo ,8.2
340,The Lord of the Rings: The Return of the King ,8.9
341,The Lord of the Rings: The Two Towers ,8.7
342,Seventh Son ,5.5
343,Lara Croft: Tomb Raider ,5.7
344,Transcendence ,6.3
345,Jurassic Park III ,5.9
346,Rise of the Planet of the Apes ,7.6
347,The Spiderwick Chronicles ,6.6
348,A Good Day to Die Hard ,5.3
349,The Alamo ,6.0
350,The Incredibles ,8.0
351,Cutthroat Island ,5.6
352,Percy Jackson & the Olympians: The Lightning Thief ,5.9
353,Men in Black ,7.3
354,Toy Story 2 ,7.9
355,Unstoppable ,6.8
356,Rush Hour 2 ,6.6
357,What Lies Beneath ,6.6
358,Cloudy with a Chance of Meatballs ,7.0
359,Ice Age: Dawn of the Dinosaurs ,7.0
360,The Secret Life of Walter Mitty ,7.3
361,Charlie's Angels ,5.5
362,The Departed ,8.5
363,Mulan ,7.5
364,Tropic Thunder ,7.0
365,The Girl with the Dragon Tattoo ,7.8
366,Die Hard with a Vengeance ,7.6
367,Sherlock Holmes ,7.6
368,Ben-Hur ,6.1
369,Atlantis: The Lost Empire ,6.8
370,Alvin and the Chipmunks: The Road Chip ,5.0
371,Valkyrie ,7.1
372,You Don't Mess with the Zohan ,5.5
373,Pixels ,5.6
374,A.I. Artificial Intelligence ,7.1
375,The Haunted Mansion ,4.9
376,Contact ,7.4
377,Hollow Man ,5.7
378,The Interpreter ,6.4
379,Percy Jackson: Sea of Monsters ,5.9
380,Lara Croft Tomb Raider: The Cradle of Life ,5.5
381,Now You See Me 2 ,6.9
